date,1a. open (EUR),1b. open (USD),2a. high (EUR),2b. high (USD),3a. low (EUR),3b. low (USD),4a. close (EUR),4b. close (USD),5. volume,6. market cap (USD)
2021-06-26,115.202642,125.03,119.266016,129.44,109.342538,118.67,116.916446,126.89,871924.09227,871924.09227
2021-06-25,124.011226,134.59,127.56783,138.45,114.539234,124.31,115.175,125.0,764515.33892,764515.33892
2021-06-24,118.980382,129.13,126.563504,137.36,113.986394,123.71,124.002012,134.58,660335.54019,660335.54019
2021-06-23,110.282366,119.69,123.23725,133.75,106.412486,115.49,118.95274,129.1,1020444.64312,1020444.64312
2021-06-22,114.603732,124.38,122.573842,133.03,96.673288,104.92,110.236296,119.64,2255757.11457,2255757.11457
2021-06-21,142.697218,154.87,143.2777,155.5,114.170674,123.91,114.677444,124.46,1492819.3793,1492819.3793
2021-06-20,140.522714,152.51,143.904252,156.18,132.45125,143.75,142.706432,154.88,611253.37603,611253.37603
2021-06-19,144.042462,156.33,148.234832,160.88,140.338434,152.31,140.504286,152.49,523073.02283,523073.02283
2021-06-18,153.993582,167.13,154.270002,167.43,139.31568,151.2,144.051676,156.34,800699.30384,800699.30384
2021-06-17,153.468384,166.56,159.77076,173.4,150.013134,162.81,153.947512,167.08,559434.62367,559434.62367
2021-06-16,161.392424,175.16,163.373434,177.31,151.321522,164.23,153.477598,166.57,761479.45263,761479.45263
2021-06-15,165.741432,179.88,166.95768,181.2,158.61901,172.15,161.38321,175.15,654352.05304,654352.05304
2021-06-14,157.42119,170.85,165.842786,179.99,153.265676,166.34,165.750646,179.89,802051.95645,802051.95645
2021-06-13,149.091734,161.81,158.103026,171.59,144.125388,156.42,157.42119,170.85,573493.90783,573493.90783
2021-06-12,150.040776,162.84,151.38602,164.3,142.024596,154.14,149.08252,161.8,653167.31003,653167.31003
2021-06-11,154.961052,168.18,160.120892,173.78,147.93077,160.55,150.031562,162.83,928611.54446,928611.54446
2021-06-10,158.978356,172.54,160.885654,174.61,149.377368,162.12,154.942624,168.16,878866.63371,878866.63371
2021-06-09,148.013696,160.64,159.67862,173.3,140.338434,152.31,158.996784,172.56,1139739.36054,1139739.36054
